Rank,country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
1,Switzerland,110.34,50.21,81.73,113.35,104.30,116.19
2,Iceland,86.59,35.81,62.43,82.44,88.64,82.62
3,Norway,85.93,30.55,59.59,81.31,87.59,86.27
4,Jersey,80.38,55.37,68.48,64.52,89.23,68.72
5,Denmark,73.09,29.18,52.21,59.94,81.12,99.76
6,Luxembourg,72.15,47.95,60.64,67.30,73.74,96.13
7,Guernsey,70.88,45.60,58.85,65.92,71.79,70.61
8,Netherlands,67.71,33.37,51.37,58.11,64.70,99.58
9,Ireland,66.73,44.19,56.00,54.18,66.72,75.20
10,France,65.55,24.88,46.20,63.17,63.58,79.61
11,Austria,64.11,22.75,44.44,58.04,60.66,75.09
12,Finland,63.75,21.89,43.83,56.42,63.59,91.00
13,Belgium,62.80,21.46,43.14,53.17,65.92,86.27
14,Sweden,61.77,23.05,43.35,54.86,62.29,94.93
15,United Kingdom,60.42,30.99,46.42,48.68,63.73,92.86
16,Germany,59.62,25.98,43.62,48.63,52.44,102.75
17,Italy,58.47,20.95,40.62,49.91,59.12,58.00
18,Malta,57.71,24.68,41.99,50.77,58.76,44.80
19,Greece,50.23,12.40,32.23,39.29,46.17,38.39
20,Estonia,49.47,14.73,32.94,39.65,47.84,60.41
21,Russian Federation,48.07,15.96,32.80,41.19,44.20,42.22
22,Spain,47.51,21.40,35.09,39.45,47.54,77.29
23,Slovenia,47.30,15.32,32.09,42.06,39.38,57.95
24,Latvia,45.21,10.02,28.47,35.94,37.89,49.84
25,Czechia,44.33,18.27,31.93,37.59,33.40,69.94
26,Croatia,43.74,11.63,28.47,37.29,36.47,52.79
27,Lithuania,43.10,15.31,29.88,35.36,39.19,55.67
28,Portugal,42.18,20.70,31.96,33.80,34.88,47.89
29,Slovakia,41.03,13.79,28.07,38.25,30.59,53.84
30,Bulgaria,37.58,9.57,24.26,33.51,31.81,46.90
31,Poland,35.06,14.15,25.12,28.39,31.40,60.65
32,Romania,34.93,9.98,23.06,30.54,29.74,48.84
33,Montenegro,34.74,11.05,23.47,29.19,27.50,37.23
34,Hungary,34.64,11.13,23.46,30.85,28.23,53.24
35,Albania,33.60,8.22,21.53,27.65,22.94,28.65
36,Serbia,33.35,7.54,21.07,26.79,27.18,41.56
37,Bosnia And Herzegovina,32.24,5.31,19.42,28.57,20.80,46.51
38,Ukraine,30.70,10.79,21.22,27.11,26.24,36.29
39,Moldova,28.92,7.40,18.68,24.44,23.96,33.37
40,North Macedonia,28.51,05.05,17.35,24.75,19.43,35.57
41,Belarus,26.39,8.32,17.80,24.17,25.80,32.31